Employee_ID,Name,Age,Department,Salary,Experience_Years,City,Performance_Score,Email,Joining_Date
EMP1000,Michael Clark,58.0,HR,172310.26438356165,4,Mumbai,9.0,rogersalexis@lowery-hansen.com,2016-08-31
EMP1001,Jonathan Robinson,31.0,Marketing,172310.26438356165,five,Mumbai,-3.0,davidsmith@gmail.com,32-13-2024
EMP1002,Robert Hernandez,39.723404255319146,Support,172310.26438356165,3,Chennai,7.0,invalid_email,32-13-2024
EMP1003,Randy Beasley,39.723404255319146,Finance,71164.82,-1,Delhi,15.0,xsanders@hotmail.com,32-13-2024
EMP1004,Sara Moore,39.723404255319146,Sales,148078.8,-1,Chennai,15.0,invalid_email,2022-10-04
EMP1005,Tracy Morgan,39.723404255319146,Sales,111236.64,five,Delhi,5.336206896551724,invalid_email,32-13-2024
EMP1006,Samuel Davis,39.723404255319146,Marketing,92403.47,7,Delhi,-3.0,tfitzgerald@gmail.com,32-13-2024
EMP1007,Allison Oneal,38.0,Marketing,203859.63,-1,Delhi,5.336206896551724,invalid_email,32-13-2024
EMP1008,Jeffery Bryant,41.0,Sales,77782.55,2,Delhi,5.336206896551724,invalid_email,2020-07-28
EMP1009,Jennifer Fox,39.723404255319146,Support,172310.26438356165,17,Delhi,15.0,invalid_email,32-13-2024
EMP1010,Kelly Boyd,39.723404255319146,Marketing,172310.26438356165,five,Pune,9.0,jenniferwu@hotmail.com,32-13-2024
EMP1011,Richard Baker,39.723404255319146,HR,143954.97,-1,Chennai,8.0,invalid_email,2021-05-20
EMP1012,David Pearson,21.0,Sales,134141.25,five,Delhi,5.336206896551724,invalid_email,2022-11-15
EMP1013,Deborah Mendez,39.723404255319146,Support,172310.26438356165,five,Delhi,-3.0,invalid_email,32-13-2024
EMP1014,Angela Strickland,25.0,IT,172310.26438356165,five,Pune,1.0,hdickerson@yahoo.com,2023-11-17
EMP1015,Michael Green,39.0,Finance,146453.86,five,Delhi,-3.0,invalid_email,2017-05-03
EMP1016,Patricia Martin,24.0,HR,183605.81,14,Chennai,2.0,fgomez@boone.com,2026-02-13
EMP1017,Michael Hardin,30.0,UnknownDept,172310.26438356165,five,Delhi,4.0,brettcraig@yahoo.com,32-13-2024
EMP1018,Madison Baxter,52.0,Finance,172310.26438356165,five,Delhi,-3.0,tbradley@frye.com,2022-01-19
EMP1019,Tracy Thompson,42.0,Sales,139949.5,five,Pune,-3.0,invalid_email,2024-01-29
EMP1020,Lisa Anderson,39.723404255319146,Sales,172310.26438356165,1,Mumbai,-3.0,invalid_email,2017-06-08
EMP1021,Daniel Glenn,29.0,IT,172310.26438356165,12,Delhi,5.336206896551724,invalid_email,32-13-2024
EMP1022,Scott Smith,39.723404255319146,HR,172310.26438356165,-1,Ahmedabad,15.0,invalid_email,32-13-2024
EMP1023,Courtney Wade,39.723404255319146,HR,61103.04,five,Pune,10.0,invalid_email,32-13-2024
EMP1024,Anthony Wilson,39.723404255319146,IT,172310.26438356165,five,Bangalore,15.0,invalid_email,2020-03-26
